date,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,,,,,
25-Dec,43,17.7,10.3,22.5,20.8,19.6,31,8.4,3.7,22.3,20.6,19.9,13.7,8.4,21.7,17.7,18.3,,,,,
26-Dec,43.4,18.7,10.7,23.1,20.3,19.6,31.6,8.2,4,22.4,20.6,20,13.7,8.4,22.7,18.2,17.9,,,,,
27-Dec,44.1,19.7,11.9,23.4,21.2,20.1,32.3,8.1,4.1,22.5,22.2,20.2,14.1,8.7,23.7,18.6,16.6,,,,,
28-Dec,44.2,20.6,14,23.7,22.4,22.3,32.6,8.1,5.6,23.5,23.6,20.6,14.1,9.1,24.2,18.7,16.4,,,,,
29-Dec,44.8,22.3,14.6,24,22.6,21.3,32.7,8.1,5.7,23.6,24.2,22.6,16,9.3,24.2,18.8,16.7,,,,,
30-Dec,44.9,23.1,16.2,24.1,22.8,21.9,33,8.1,5.5,23.6,26.3,23,16.9,9.3,24.7,19,17.4,,,,,
31-Dec,45.1,24.4,16.7,25.2,22.8,23,33,8,5.6,23.6,26.4,24.5,17.2,9.4,27.5,19.5,18.8,,,,,
1-Jan,45.1,24.6,17.7,26.4,22.8,23.6,33.1,8.3,5.7,23.6,27.1,24.7,17.2,11.4,28.3,19.4,20.1,,,,,
2-Jan,47.2,24.7,18.9,28.1,22.8,23.9,33.2,8.3,6,23.7,27.2,25,17.2,11,29.2,19.6,20.1,,,,,
3-Jan,46,25.9,19.3,28.8,22.9,24.8,33.4,9.8,6.3,23.6,27.2,25.1,17.8,12,31.4,22,20.2,,,,,
4-Jan,49.7,27.2,20,28.4,22.8,25.1,33.7,10.3,6.3,23.6,27.3,25.3,18.1,12.1,31.4,23.4,20.6,,,,,
5-Jan,50.8,28,21.4,28.6,22.9,23.5,34.5,10.4,8.2,23.8,27.5,25.3,17.7,13,33.2,24.2,20.7,,,,,
6-Jan,53.9,29.3,23,26.5,24.7,24.4,35.5,10.6,7.8,24.1,27.6,25,17.4,14.6,35.2,24.5,21.1,,,,,
7-Jan,55,29.8,23.6,25.7,27,25.5,36.3,10.7,7.5,24,27.7,23.5,18.2,17.7,36,26.6,20.8,,,,,
8-Jan,56.8,30,28.5,26,27.5,26.4,37.5,11.3,7.5,23.9,27.8,24.3,18.5,17.7,36.2,27.8,20.7,,,,,
9-Jan,57.6,31.6,30.9,28,28,26.9,37.1,12.4,7.5,23.9,28.6,25,19.2,18,36.5,28.2,21.2,,,,,
10-Jan,57.9,32.8,30.9,26.3,28,26.9,39,13.7,7.5,24,29.5,25.8,19.5,18.2,36.6,28.5,21.9,,,,,
11-Jan,58.1,35.5,32.4,25.8,28,26.5,39.5,15.7,7.5,23.9,29.4,26.5,18.9,20.5,37.3,28.5,22.4,,,,,
12-Jan,58.1,36.9,33,18.8,28.7,26.5,39.9,17.8,7.6,25,29.5,28.6,18.2,21.6,38,28.5,22.5,,,,,
13-Jan,58.2,37.7,32.6,19.3,30.9,26.5,40.2,20.1,7.6,25.1,29.6,28.8,18,23.4,37.9,27.6,22.9,,,,,
14-Jan,58.2,38.1,32,23.3,33,26.6,40.6,20.8,7.6,25.4,29.8,28.6,18.1,23.6,36.8,27.3,21.7,,,,,
15-Jan,58.4,39.3,32.1,25.4,33.7,28.2,40.8,20.7,7.7,25.2,29.9,28.2,18.2,24.4,36.4,27.5,20.8,,,,,
16-Jan,58.6,40.1,32.1,27.2,33.4,28.5,41,20.5,7.9,25.6,29.9,28,18.4,25.5,36.5,27.9,21.5,,,,,
17-Jan,58.9,40.4,32.1,27.2,28.9,29.6,41.3,20.6,8.4,26.6,30.1,28,18.5,25.9,36.7,28.3,22,,,,,
18-Jan,59.1,40.7,32,28,32.4,30.4,41.8,20.7,8.5,27.3,29.3,28.2,19.2,26.3,37.8,28.7,22.7,,,,,
19-Jan,60.3,40.9,32,28.3,32.3,30.8,41.9,20.7,8.4,27.5,31.9,28.1,19.9,27.5,37.8,29,24,,,,,
20-Jan,61.6,41.6,32.1,28.4,32.2,31,42.1,20.8,9.1,27.8,33.3,29.9,19.9,28.1,38,29.3,24.1,,,,,
21-Jan,62.3,41.7,32.1,28.5,33.5,32.9,42.4,20.9,9.1,28.3,33.5,31.7,19.5,27.9,38.3,28.6,24.2,,,,,
22-Jan,62.8,41.9,32.2,28.7,35.4,33.9,42.5,20.8,9.2,28.7,33.9,33.6,19.4,29.2,38.3,28.3,24.5,,,,,
23-Jan,62.4,42.1,32.2,28.7,35.5,34.9,42.6,20.9,9.2,28.1,34.2,35.2,21.8,30.9,38.3,28.5,24.6,,,,,
24-Jan,61.8,42.2,32.3,28.9,35.8,35.2,43.4,21,8.6,28.4,34.2,37.4,22.3,31.1,38.3,28.8,24.7,,,,,
25-Jan,61.8,42.3,32.5,29.6,36.7,37.1,44.1,20.8,8.7,28.6,34.2,38.8,22.4,30.3,38.8,29.1,24.9,,,,,
26-Jan,62,42.4,32.5,30.2,35.8,38.3,44.6,21,8.3,28.4,34.3,39.6,22.5,29.7,39.1,29.2,24.9,,,,,
27-Jan,62.1,43.6,32.5,30.4,35.4,38.7,45.7,21,7.4,28.2,34.3,41,22.6,30.4,39.1,29.4,25.3,,,,,
28-Jan,62.3,43.9,34.4,30.4,35.2,38.7,46.6,20.9,7,28.1,34.5,42.5,22.8,32,39.5,29.6,25.6,,,,,
29-Jan,62.4,44.2,35.2,30.4,36,39.7,47.5,20.9,6.9,28.3,34.5,43.6,22.8,32.8,39.9,29.7,25.4,,,,,
30-Jan,62.6,46.1,35.7,30.4,36.1,41.3,48.7,21,6.9,29.3,34.9,42.2,23,34,39.9,29.8,25.3,,,,,
31-Jan,62.9,47.3,36.2,31.1,35.4,41.3,49.1,21.4,6.9,30.1,34.8,43,23.1,35,41.1,30.5,25.4,,,,,
1-Feb,63.1,48.4,36.2,31,35.1,42.3,50.2,21.7,6.8,30.5,34.1,44.6,23.3,34.6,42.4,30.9,25.7,,,,,
2-Feb,63.1,49.6,37.2,30.8,35,43.4,49.9,21.8,7.1,31.2,34,46.2,25.1,34,42.5,30.9,25.9,,,,,
3-Feb,63.1,49.9,38,30.8,35.2,43.5,49.9,21.9,7.7,31.3,34.1,47.4,24.4,33.6,42.9,31.3,26,,,,,
4-Feb,63.6,50,38.3,30.7,36.4,43.6,50.2,21.9,7.5,32.4,36,44.5,24.5,33.7,42.5,32.1,27.1,,,,,
5-Feb,64.4,50.5,38.6,30.7,35.8,43.7,51,21.9,7.6,33.2,38.2,44.5,24.6,34.7,44.5,33.7,27.8,,,,,
6-Feb,63.6,52.5,38.9,31.5,35.3,43.9,52.4,21.8,6.3,34,38.8,44.5,24.6,36.6,45.5,34.3,28,,,,,
7-Feb,63.2,54.2,39.1,31.1,36.5,43.9,53.3,21.8,5.1,34.5,40.1,45.5,24.7,38.2,47.6,34.4,28.5,,,,,
8-Feb,63.1,57.1,39.1,30.9,36.9,43.9,53.6,21.8,4.4,34.5,40.1,46.6,24.9,39.6,48.1,34.6,30.3,,,,,
9-Feb,62.8,59.1,39.2,31,36.9,44.5,53.8,21.8,4,34.2,40.7,46,25.3,39.9,48.6,35.2,30.5,,,,,
10-Feb,62.6,60.2,39.5,31,36.9,44.8,53.8,22.1,3.5,34.1,40.7,46,25.4,39.8,48.7,35.2,30.8,,,,,
11-Feb,62.9,55.7,39.6,31.1,37,44.5,53.9,23.6,3.2,34.4,40.7,46.3,26.2,39.9,49,35.2,30.9,,,,,
12-Feb,63.5,57.7,39.8,32.2,37.7,44.4,53.9,25,2.7,34.7,41,46.9,27.1,40.3,49.2,35,30.8,,,,,
13-Feb,63.3,59.1,39.8,32.7,39.5,44.2,54.5,26.4,2.4,33.7,41.5,47.2,28.2,40.3,49.4,35,31.5,,,,,
14-Feb,63.3,59.6,39.8,33,39.7,44,55.1,27.2,2.1,35,41.7,48,28.5,40.8,50.1,35,32,,,,,
15-Feb,64.3,59.9,39.8,32.7,40.8,44.1,55.5,28,2,34.5,42.6,49.1,28.8,41.7,50.6,35.4,31.9,,,,,
16-Feb,65.7,61,40,31.6,41.2,44,55.5,29.1,1.8,34,40.6,49.5,29.2,42.8,51.4,35.8,31.9,,,,,
17-Feb,65.1,61.2,40.3,31.6,41.6,44.4,56.3,30.8,1.6,33.9,40.2,51.2,29.2,43.3,52.3,35.9,32.5,,,,,
18-Feb,65.7,61.8,40.4,31.3,41.9,45.6,56.4,32.6,1.4,33.9,40.8,53.5,29.2,44.2,52.5,36.4,33.2,,,,,
19-Feb,66.1,62.2,41,31.6,41.9,47.5,56.4,34.7,1,34.6,41.4,53.8,29.3,44.2,53.3,36.6,34,,,,,
20-Feb,68.2,62.4,40.7,31.9,41.7,48.4,56.4,35.4,0.9,36.3,42.6,54,30.1,44.3,54,38,35.7,,,,,
21-Feb,69.3,62.7,40.7,32.1,41.7,49,56.5,36.3,1.1,37.2,43.4,54.1,30.1,44.4,54.7,39,38.3,,,,,
